ds,trend,yhat_lower,yhat_upper,yhat
2017-11-09,0.04730837805008998,-0.028449206445671605,0.0870501342178911,0.030529800107475545
2017-11-10,0.04699182572554851,-0.026789602716641873,0.0910272098828586,0.0301681782018105
2017-11-11,0.04667527340100704,-0.031408015325838694,0.08646039407515287,0.028120165346890227
2017-11-12,0.046358721076465575,-0.031664313557711606,0.08213047816095309,0.026890232957329806
2017-11-13,0.0460421687519241,-0.03651213932538407,0.08587716834468323,0.02464463664901408
2017-11-14,0.04572561642738264,-0.03844051528763109,0.08240086574324469,0.022718089960600103
2017-11-15,0.045409064102841165,-0.038728078695007905,0.08208648931035163,0.02137062036249303
2017-11-16,0.0450925117782997,-0.03878989421117812,0.0794106126172273,0.019921052416279384
2017-11-17,0.04477595945375823,-0.04077013644103635,0.08064753960752398,0.019589820389176022
2017-11-18,0.04445940712921676,-0.038312591356137814,0.07819997819807577,0.017627488681170905
2017-11-19,0.04414285480467529,-0.042268886610953495,0.07928421090003251,0.0165318184610946
2017-11-20,0.043826302480133826,-0.046770706373528356,0.07535929120596885,0.014461391321330258
2017-11-21,0.04350975015559235,-0.04843215818609509,0.07621539044380213,0.012742548570554825
2017-11-22,0.043193197831050884,-0.04965461742877225,0.0699397696600183,0.011626534782719418
2017-11-23,0.042876645506509416,-0.047717071266619226,0.07160630642538642,0.010423281373179098
2017-11-24,0.04256009318196795,-0.04951437079851228,0.06810588014063437,0.010344522930928302
2017-11-25,0.04224354085742648,-0.05038614959213874,0.07091275938286237,0.008632614903073182
2017-11-26,0.04192698853288501,-0.05009459154170829,0.07145728559669064,0.00777788138864275
2017-11-27,0.04161043620834354,-0.0555306263932402,0.06446174634253099,0.005932494639668655
2017-11-28,0.04129388388380207,-0.05423230533890637,0.06909444153645831,0.004417636400560421
2017-11-29,0.0409773315592606,-0.056531315748386865,0.06349788517875413,0.003480822212181295
2017-11-30,0.040660779234719134,-0.05616629121211934,0.06248320880021177,0.002429818203966601
2017-12-01,0.040344226910177666,-0.059235431271672,0.058040285105815506,0.0024758383069076115
2017-12-02,0.0400276745856362,-0.06521441051069282,0.05777502538127276,0.0008623873055226688
2017-12-03,0.039711122261094724,-0.062440945109041,0.057277926756343085,8.257704165772622e-05
2017-12-04,0.039394569936553256,-0.06310076732730051,0.058042235285238705,-0.001707082279175945
2017-12-05,0.03907801761201179,-0.0624661697038123,0.05921323905433763,-0.0031796633901312044
2017-12-06,0.03876146528747032,-0.06304734669979253,0.05613513657888922,-0.004080690833808742
2017-12-07,0.03844491296292885,-0.061598676814615665,0.0569904857389054,-0.0050944623115057736
2017-12-08,0.038128360638387385,-0.06418531124737095,0.05658857707419548,-0.0050011275150545
2017-12-09,0.03781180831384591,-0.06308016785882795,0.05051765692602626,-0.0065481506677916995
2017-12-10,0.03749525598930444,-0.06150264928242944,0.05503919213792583,-0.007233320060559004
2017-12-11,0.037178703664762974,-0.07009722725999688,0.05403496313718085,-0.008891292465867486
2017-12-12,0.036862151340221506,-0.06974999094777283,0.04357271796647517,-0.010186909518885658
2017-12-13,0.03654559901568004,-0.0726370490992562,0.050978564213661155,-0.010858390270604854
2017-12-14,0.03622904669113857,-0.07137120950581585,0.046424047105267444,-0.011583954270305237
2017-12-15,0.035912494366597096,-0.06819133377036532,0.04847205433815068,-0.011139170159413132
2017-12-16,0.03559594204205563,-0.07031073298924467,0.042287378833638055,-0.012268646830323832
2017-12-17,0.03527938971751416,-0.073120515056766,0.05211588732026765,-0.012469222405482434
2017-12-18,0.03496283739297269,-0.07397745788184981,0.04707117535328881,-0.013576632295605379
2017-12-19,0.034646285068431225,-0.07370448886513337,0.04683712687040319,-0.014258888428902793
2017-12-20,0.03432973274388976,-0.07247631754762619,0.043706721142569946,-0.014259470663151128
2017-12-21,0.03401318041934828,-0.07859813808787076,0.04697611252216364,-0.014263883468323663
2017-12-22,0.033696628094806814,-0.0703396814727412,0.04549616468846908,-0.013056873581528183
2017-12-23,0.03338007577026535,-0.0764691427060642,0.04525069869432095,-0.013393928399518903
2017-12-24,0.03306352344572388,-0.07811363512576824,0.04756191303811519,-0.01278421501246716
2017-12-25,0.03274697112118241,-0.07088717643949635,0.051707065619987544,-0.013076947605208257
2017-12-26,0.03243041879664094,-0.07526001280775388,0.04457291116258769,-0.012954423432732863
2017-12-27,0.032113866472099475,-0.070897717731167,0.04872879836341502,-0.012174837917650387
2017-12-28,0.0317973141525055,-0.0705611287882393,0.04842277125999436,-0.011438442640230966
2017-12-29,0.031480761832911534,-0.06444832253239817,0.05211435886137062,-0.009544353477303764
2017-12-30,0.03116420951331756,-0.06850474761039971,0.05021014509177109,-0.009261640641074216
2017-12-31,0.030847657193723586,-0.06603277281618547,0.05247377176789275,-0.008111872754398855
2018-01-01,0.030531104874129616,-0.06799521621156909,0.05128946772584907,-0.007955114630775615
2018-01-02,0.03021455255453565,-0.06633936349470089,0.051031938660273356,-0.007482630357928444
